"","CITY","COUNTY","DAY","DAY_WEEK","FATALS","HOUR","LATITUDE","LONGITUDE","MINUTE","MONTH","STATE","ST_CASE","YEAR"
"30903",2190,141,2,1,1,1,31.84568611,-106.5984806,52,9,48,483107,2018
"30908",2190,141,3,1,1,2,31.75169167,-106.3033028,19,6,48,483112,2018
"30937",2190,141,14,1,1,19,31.85497778,-106.4455583,8,10,48,483142,2018
"30962",2190,141,19,4,1,19,31.83763333,-106.439825,34,12,48,483167,2018
"30966",2190,141,18,3,1,19,31.81956111,-106.2728778,7,12,48,483171,2018
"30991",2190,141,21,6,1,9,31.81378889,-106.2129389,13,12,48,483196,2018
"31064",2190,141,23,1,1,7,31.79124722,-106.4659111,41,12,48,483270,2018
"31078",0,141,26,4,1,18,31.65759444,-106.2382139,40,12,48,483284,2018
"31125",2190,141,5,6,1,17,31.84125278,-106.5667972,59,10,48,483331,2018
"31153",2190,141,29,7,1,5,31.76420278,-106.2674528,43,12,48,483359,2018
